AQW00061705         324C   301C   335C   312C   302C   269C   256C   257C   270C   290C   298C   321C
USW00013889       -7777S     1S     6S    22S   108S   241S   319S   304S   193S    58S     9S     1S
USW00013891           0S     0S -7777S     2S    23S   119S   202S   185S    62S     4S -7777S     0S
USW00013893       -7777C -7777C     1C    13C    78C   235C   332C   311C   143C    21C     1C -7777C
USW00013894       -7777C -7777C     3C    16C   101C   235C   305C   299C   181C    43C     5C     1C
USW00013895       -7777S -7777S     1S     8S    76S   213S   304S   293S   155S    27S     3S -7777S
USW00013896       -7777S     0S     1S     5S    50S   165S   261S   246S    98S     9S -7777S -7777S
USW00013897       -7777C -7777C -7777C     4C    29C   136C   231C   214C    75C     6C -7777C -7777C
USW00013899       -7777C -7777C     2C    14S   111S   256S   316S   304S   203S    51S     5S     1S
USW00013904       -7777R     1R     6R    32R   134R   272R   355R   363R   193R    56R     7R     1R
USW00013911       -7777R     1R     5R    26R   121R   291R   423R   436R   220R    49R     4R -7777R
USW00013920           0R     0R     0R     1R    18R    95R   223R   184R    44R     5R     0R     0R
USW00013927       -7777R     1R     1R    12R    86R   220R   307R   301R   154R    29R     1R     1R
USW00013932           0R     0R -7777R     3R    33R   140R   274R   261R    92R     7R -7777R     0R
USW00013935       -7777R     1R     4R    21R    95R   230R   308R   307R   155R    29R     4R     1R
USW00013939           0Q -7777Q -7777Q     7Q    78Q   213Q   310Q   295Q   122Q    22Q     1Q     0Q
USW00013942       -7777S -7777S     5S    22S   111S   259S   343S   331S   171S    30S     3S     1S
USW00013957       -7777C -7777C     4C    17C    93C   237C   343C   345C   177C    32C     3C -7777C
USW00013958       -7777S     2S    10S    44S   163S   307S   403S   428S   250S    81S    12S     1S
USW00013959       -7777S -7777S     4S    24S   119S   280S   409S   412S   210S    50S     6S -7777S
USW00013960       -7777C -7777C     5C    25C   129C   308C   445C   453C   231C    50C     5S -7777C
USW00013961       -7777R -7777R     3R    17R   106R   269R   394R   405R   195R    34R     3R -7777R
USW00013962       -7777S -7777S     3S    23S   106S   232S   345S   336S   151S    27S     2S -7777S
USW00013963       -7777S     0S     1S     7S    66S   221S   336S   327S   139S    16S     1S -7777S
USW00013964           0C     0C     1C     7C    47C   186C   320C   316C   120C    11C -7777C     0C
USW00013966       -7777S -7777S     2S    14S    82S   232S   385S   373S   161S    22S     1S -7777S
USW00013967           0S -7777S -7777S     8S    56S   191S   343S   324S   127S    11S -7777S     0S
USW00013968       -7777C -7777C     1C    10C    49C   185C   339C   321C   114C    11C     1C     0C
USW00013969           0S -7777S -7777R     6R    38R   162R   302R   289R   107R     9S -7777S     0S
USW00013970           1S     2S    10S    35C   141S   275S   339S   339S   212S    58S     9S     4S
USW00013971           0R     0R -7777R     3R    20R    94R   205R   193R    49R     3R -7777R     0R
USW00013972       -7777R -7777R     1R    13R    90R   226R   339R   347R   155R    33R     2R -7777R
USW00013973           0R -7777R     4R    24R   112R   237R   321R   316R   143R    21R     1R     0R
USW00013975           0S     0S -7777S     4S    34S   136S   260S   236S    82S     5S -7777S     0S
USW00013976           1S     1S     9S    41S   161S   288S   355S   360S   228S    69S    11S     4S
USW00013977       -7777R -7777R     2R    11R    67R   200R   318R   313R   132R    21R     1R -7777R
USW00013978       -7777S -7777C     2C    11C    74C   209S   288S   280S   133C    21C     2S -7777C
USW00013980           0S     0S     0S     2S    28S   152S   295S   263S    89S     4S     0S     0S
USW00013981           0C     0C -7777C     2C    20S   115S   237C   226C    72C     4C -7777C     0C
USW00013984           0C     0C -7777C     2C    14C   106C   230C   184C    57C     4C -7777C     0C
USW00013985           0S     0S     0S     2S    21S   116S   244S   209S    69S     4S -7777S     0S
USW00013986           0R     0R -7777R     2R    32R   129R   262R   220R    72R     6R     0R     0R
USW00013987           0C -7777C     1C     8C    31C   137C   261C   251C    82C     8C -7777C     0C
USW00013988           0S -7777S -7777S     5S    30S   148S   284S   242S    74S     5S -7777S     0S
USW00013989           0R     0R -7777R     2R    21R    92R   224R   193R    54R     5R     0R     0R
USW00013991           0R     0R -7777R     1R    16S    93S   181S   149R    40R     3R -7777R     0R
USW00013993           0R     0R     0R     2R    21R    98R   172R   139R    32R     5R     0R     0R
USW00013994           0S     0S     1S     7S    35C   153C   254C   219S    74S     7S -7777S     0S
USW00013995           0S     0S -7777S     1S    14S    94S   202S   198S    56S     3S -7777S     0S
USW00013996           0C     0C -7777C     4C    21C   112C   224S   191S    58S     5S -7777S     0C
USW00013997           0R     0R -7777R     1R    14R    79R   178R   160R    39R     2R -7777R     0R
USW00014605           0S     0S     0S -7777S     1S    10S    32S    23S     4S -7777S     0S     0S
USW00014606           0R     0R     0R     0R -7777R     7R    24R    18R     3R -7777R     0R     0R
USW00014607           0C     0C     0C     0C -7777C     4C    12C     6C     1C     0C     0C     0C
USW00014609           0S     0S     0S     0S -7777S     4S    13S     6S     2S     0S     0S     0S
USW00014610           0R     0R     0R     0R     1R     6R    20R    12R     3R -7777R     0R     0R
USW00014611           0R     0R     0R -7777R -7777R     7R    26R    17R     2R -7777R     0R     0R
USW00014702           0R     0R     0R     1R     3R    29R    85R    66R    11R     1R -7777R     0R
USW00014707           0R     0R     0R     0R -7777R     7R    32R    35R     6R -7777R     0R     0R
USW00014710           0R     0R     0R -7777R     4R    29R    76R    56R     8R -7777R     0R     0R
USW00014711           0R     0R     0R     1R    11R    69R   137R    96R    18R     1R     0R     0R
USW00014712           0R     0R -7777R     1R     8R    55R   112R    78R    15R     1R -7777R     0R
USW00014717           0R     0R     0R     0R     1R    17R    38R    28R     7R -7777R     0R     0R
USW00014719           0R     0R     0R     0R -7777R    11R    49R    45R     7R -7777R     0R     0R
USW00014732           0C     0C -7777C     2C    12C    82C   179C   151C    43C     2C     0C     0C
USW00014733           0S     0S     0S -7777S     3S    21S    51S    34S     8S -7777S     0S     0S
USW00014734           0S     0S -7777S     2S    15S    88S   178S   139S    37S     2S     0S     0S
USW00014735           0S     0S     0S -7777S     3S    26S    63S    45S     8S -7777S     0S     0S
USW00014736           0S     0S     0S -7777S     3S    19S    44S    30S     7S -7777S     0S     0S
USW00014737           0S     0C -7777C     1S     6S    39S    90S    60S    12S -7777S     0S     0S
USW00014739           0C     0C     0C -7777C     4C    39C    97C    73C    17C     1C     0C     0C
USW00014740           0C     0C -7777C     1C     5C    38C    94C    70C    15C     1C     0C     0C
USW00014742           0S     0S     0S -7777S     2S    23S    50S    33S     7S -7777S     0S     0S
USW00014743           0C     0S     0C -7777C     2C    14C    35S    22C     5S -7777C     0C     0C
USW00014745           0C     0C     0C -7777C     1C    16C    44C    31C     5C -7777C     0C     0C
USW00014747           0R     0R     0R -7777R     2R    25R    52R    36R    10R     1R     0R     0R
USW00014748           0R     0R     0R     0R     1R    11R    29R    20R     2R -7777R     0R     0R
USW00014750           0C     0C     0C -7777C     1C    10C    28C    17C     2C -7777C     0C     0C
USW00014751           0R     0R -7777R     2R    10R    62R   126R    92R    20R     1R -7777R     0R
USW00014752           0R     0R     0R     1R     5R    40R   101R    77R    16R     1R     0R     0R
USW00014753           0S     0S     0S -7777S     3S    23S    66S    50S    10S -7777S     0S     0S
USW00014754           0R     0R     0R -7777R -7777R     5R    20R    12R     1R     0R     0R     0R
USW00014755           0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S     0S
USW00014756           0R     0R     0R     0R     0R     1R    11R     9R     1R -7777R     0R     0R
USW00014757           0S     0S     0S -7777S     4S    29S    78S    56S    13S -7777S     0S     0S
USW00014758           0Q     0Q     0Q     0Q     1Q    29Q    89Q    76Q    11Q -7777Q -7777Q     0Q
USW00014761           0R     0R     0R     0R -7777R     5R    18R    10R     2R     0R     0R     0R
USW00014762           0R     0R -7777R     1R     3R    34R    72R    56R    10R     1R     0R     0R
USW00014763           0R     0R     0R -7777R -7777R     7R    18R    13R     1R     0R     0R     0R
USW00014764           0C     0C     0C -7777C     1C     9C    29C    22C     4C -7777C     0C     0C
USW00014765           0C     0C     0C -7777C     3C    31C    90C    71C    15C -7777C     0C     0C
USW00014768           0S     0S -7777S -7777S     3S    23S    53S    35S     9S -7777S     0S     0S
USW00014770           0R     0R     0R -7777R     7R    49R    87R    53R     9R -7777R     0R     0R
USW00014771           0C     0C     0C -7777C     3C    26C    58C    40C     9C -7777C     0C     0C
USW00014775           0R     0R     0R     1R     2R    21R    53R    44R     6R -7777R     0R     0R
USW00014777           0C     0C -7777C     1C     3C    24C    56C    36S     8C -7777C     0C     0C
USW00014778           0S     0S     0S -7777S     5S    35S    76S    52S     9S -7777S     0S     0S
USW00014787           0R     0R     0R -7777R     1R     9R    46R    40R     5R -7777R     0R     0R
USW00014790           0R     0R     0R     0R     5R    41R   111R    79R    19R -7777R     0R     0R
USW00014792           0R     0R -7777R     1R     8R    57R   132R    98R    19R     1R     0R     0R
USW00014793           0R     0R -7777R     3R    13R    75R   148R   109R    29R     2R -7777R     0R
USW00014794           0R     0R     0R     0R -7777R     8R    38R    38R     5R -7777R     0R     0R
USW00014804           0S     0S     0S -7777S     1S    29S    61S    37S     7S -7777S     0S     0S
USW00014806           0S     0S -7777S     1S    21S   100S   138S   101S    33S     2S     0S     0S
USW00014813           0R     0R     0R -7777R     4R    34R    75R    50R     8R     1R     0R     0R
USW00014814           0S     0C     0S     0S -7777S    11S    30S    19S     4S -7777S     0S     0S
USW00014815           0C     0C     0C -7777C     4C    30C    55C    37C     8S -7777C     0C     0S
USW00014817           0S     0S     0S -7777S     1S    15S    28S    15S     2S -7777S     0S     0S
USW00014819           0C     0C -7777C     2C    15C    77C   145C   108C    33C     2C     0C     0C
USW00014820           0S     0S -7777S     1S     9S    52S    94S    68S    19S     1S     0S     0S
USW00014821           0S     0S -7777S     1S    13S    72S   123S   100S    29S     2S     0S     0S
USW00014822           0S     0S -7777S     1C     8C    52C   102C    73C    18C     1C     0C     0C
USW00014824           0R     0R     0R     0R -7777R     2R     9R     8R     1R     0R     0R     0R
USW00014825           0C     0C -7777C -7777C    10C    54C    90C    62C    18C     1C     0C     0C
USW00014826           0S     0S     0S -7777S     4S    26S    52S    35S     7S     1S     0S     0S
USW00014827           0C     0C -7777C -7777C     8C    55C    92C    61C    16C     1C     0C     0C
USW00014828           0C     0C     0C -7777C     2C    19C    40C    22C     3S -7777S     0S     0C
USW00014829           0R     0R     0R -7777R     7R    42R    65R    39R    10R     1R     0R     0R
USW00014833           0C     0C -7777C -7777C     4C    31C    59C    42C     9C     1S     0C     0C
USW00014835           0S     0S -7777S     1S    12S    74S   113S    92S    27S     2S     0S     0S
USW00014836           0C     0C -7777C -7777C     6C    35C    66C    47C    12C     1C     0C     0C
USW00014837           0C     0C     0C -7777C     3C    28C    60C    41C     9C     1C     0C     0C
USW00014838           0S     0S     0S -7777S     1S     7S    25S    19S     5S -7777S     0S     0S
USW00014839           0S     0S     0S -7777S     4S    34S    73S    55S    13S     1S     0S     0S
USW00014840           0C     0C     0C -7777C     3C    23C    55C    41C     8C     1C     0C     0C
USW00014841           0C     0C     0C -7777C -7777C     7C    16C     8C     2C -7777C     0C     0C
USW00014842           0S     0S -7777S     1S    13S    75S   135S   102S    31S     2S     0S     0S
USW00014845           0S     0S     0S -7777S     5S    33S    58S    34S     7S     1S     0S     0S
USW00014846           0C     0S -7777C     1C     9S    59S   106S    75S    21S     2C     0C     0C
USW00014847           0C     0C     0C     0C -7777C     3C    12C     8C     1C -7777C     0C     0C
USW00014848           0S     0S     0S     1C     8C    50C    86C    61C    18C     1C     0C     0C
USW00014850           0S     0S -7777S     1S     2S    20S    39C    25C     6S     1S     0S     0S
USW00014852           0C     0C -7777C     1C     3C    24C    50C    35C     8C -7777C     0C     0C
USW00014853           0R     0R     0R -7777R     3R    34R    68R    43R     6R     1R     0R     0R
USW00014855           0R     0R -7777R     2R    10R    52R   111R    98R    31R     1R     0R     0R
USW00014858           0R     0R     0R -7777R     1R     5R    14R     9R     2R -7777R     0R     0R
USW00014859           0R     0R     0R -7777R -7777R     8R    17R    12R     3R     0R     0R     0R
USW00014860           0S     0S     0S -7777S     5S    32S    62S    45S    14S     1S     0S     0S
USW00014880           0R     0R     0R -7777R     2R    25R    61R    41R    10R     1R     0R     0R
USW00014891           0S     0S     0S -7777S     5S    32S    59S    41S    10S     1S     0S     0S
USW00014892           0R     0R -7777R     2R    15R    77R   149R   126R    47R     2R     0R     0R
USW00014894           0R     0R     0R     1R     3R    28R    63R    48R    10R     1R     0R     0R
USW00014895           0S     0S     0S -7777S     4S    32S    65S    45S    10S     1S     0S     0S
USW00014897           0C     0C     0C -7777C     2C    16C    37C    22C     4C -7777C     0C     0C
USW00014898           0C     0C     0C -7777C     2C    17C    35C    21C     4C -7777C     0C     0C
USW00014910           0S     0S     0S -7777S     3S    21S    50C    32C     5C -7777C     0C     0S
USW00014912           0R     0R     0R -7777R     3R    20R    46R    38R     6R -7777R     0R     0R
USW00014913           0S     0S     0S     0S -7777S     4S    16S     9S     1S     0S     0S     0S
USW00014914           0C     0C     0C -7777C     5C    28C    59C    47C     9C -7777C     0C     0C
USW00014916           0S     0S     0S -7777S     2S    15S    30C    26S     4S -7777S     0S     0S
USW00014918           0S     0S     0S     0S     1S     6C    12C     8C     1C     0C     0S     0S
USW00014919           0S     0S     0S -7777S     2S    18S    46S    37S     5S -7777S     0S     0S
USW00014920           0S     0S -7777S     1S     7S    49S    98S    67S    17S     1S     0S     0S
USW00014921           0R     0R     0R     0R     5R    27R    54R    35R     5R     1R     0R     0R
USW00014922           0S     0S     0S -7777S     7S    45S   102S    61S    13S     1S     0S     0S
USW00014923           0S     0S -7777S     2S    13S    72S   134S   100S    28S     2S     0S     0S
USW00014924           0C     0C     0C -7777C     2S    12C    22S    17C     2C -7777C     0C     0S
USW00014925           0C     0C -7777C -7777C     5C    31C    59C    37C     9C     1C     0C     0C
USW00014926           0C     0C     0C -7777C     4C    20C    49C    28C     4C -7777C     0C     0C
USW00014927           0R     0R     0R -7777R    10R    39R    99R    60R    11R     1R     0R     0R
USW00014929           0S     0S     0S -7777S     2S    22S    63S    44C     8C -7777C     0S     0S
USW00014931           0R     0R -7777R     2R    20R   100R   166R   129R    41R     3R     0R     0R
USW00014933           0S     0S -7777S     1S    10S    72S   152S   116S    30S     2S     0S     0S
USW00014935           0C     0C -7777C     1C    10C    76C   157C   114C    32C     2C     0C     0C
USW00014936           0C     0C     0C -7777C     4C    38C   109C    78C    18C -7777C     0C     0C
USW00014937           0R     0R     0R -7777R    13R    67R   118R    78R    15R     2R     0R     0R
USW00014938           0R     0R     0R -7777R     8R    51R   123R   101R    16R     3R     0R     0R
USW00014939           0C     0C -7777C     2C    12C    91C   190C   143C    38C     2C     0C     0C
USW00014940           0C     0C -7777C -7777C     4C    35C    69C    43C    10C     1C     0C     0C
USW00014941           0C     0C -7777C     2C     8C    59C   129C    93C    25C     1C     0C     0C
USW00014942           0S     0S -7777S     2S    13S    83S   167S   126S    34S     2S     0S     0S
USW00014943           0S     0S -7777S     1S    10S    60S   112S    78S    20S     1S     0S     0S
USW00014944           0S     0S     0S -7777S     5S    37S    93S    62S    13S -7777S     0S     0S
USW00014945           0R     0R     0R     3R    11R    70R   127R   104R    29R     3R     0R     0R
USW00014946           0C     0C     0C -7777C     2S    23S    64S    37S     6C -7777C     0C     0C
USW00014950           0C     0C     0S     1C     9S    61C   127C    92C    23S     1C     0C     0C
USW00014971           0R     0R -7777R     2R     9R    94R   196R   137R    37R     1R     0R     0R
USW00014972           0R     0R     0R -7777R     7R    39R    82R    49R    11R     1R     0R     0R
USW00014990           0S     0S     0S -7777S     6S    46S    85S    61S    15S     1S     0S     0S
USW00014991           0S     0S     0S -7777S     4S    29S    66S    40S     9S     1S     0S     0S
USW00014992           0C     0C     0C -7777C     7C    41C    80C    49C    10C -7777C     0C     0C
USW00014995           0C     0C     0C -7777C     2S    16S    45S    24S     4S -7777S     0S     0C
USW00021504          16C    14C    23C    26C    61C    96C   126C   138C   126C   110C    66C    28C
USW00021510          92R    74R   128R   144R   172R   219R   250R   279R   261R   250R   180R   123R
USW00021514           0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q     0Q
USW00021515       -7777Q -7777Q     2Q     1Q     4Q    10Q    30Q    35Q    29Q    25Q    10Q     3Q
USW00022010       -7777S     1S    17S    77S   223S   362S   431S   440S   259S    80S     6S -7777S
USW00022016           0Q     0Q     2Q    31Q   146Q   264Q   293Q   265Q   125Q    16Q -7777Q     0Q
USW00022501          28R    22S    43R    61S   114S   169S   211S   232S   217S   192S   117S    58S
USW00022514          59R    63R    79R   123R   165R   231R   277R   288R   267R   231R   173R   102R
USW00022516          32C    28C    47S    69S   119S   179S   222S   239S   216S   191S   123S    55S
USW00022519          50R    38S    56S    68S   115S   164S   198S   222S   222S   198S   127S    74S
USW00022521          54S    49S    83S   123S   179S   246S   285S   307S   285S   250S   170S    93S
USW00022534          15S    10S    18S    36S    75S   137S   175S   200S   191S   160S    89S    31S
USW00022536          31C    26C    44C    69C   121C   185C   222C   237C   223C   191C   116C    56C
USW00022551          46R    32R    67R    98R   126R   211R   257R   270R   242R   222R   135R    65R
USW00023007           0C -7777C     2C    15C    81C   223C   353C   315C   128C    13C     1C     0C
USW00023009           0R     0R -7777R     3S    55S   197S   261S   214S    73S     2R -7777R     0R
USW00023023           0C -7777C     1C    18C   118C   256C   316C   287C   122C    17C -7777C     0C
USW00023034       -7777S -7777S     4S    31S   132S   258S   346S   332S   149S    25S     1S -7777S
USW00023040           0S -7777S     1S    23S   137S   309S   362S   331S   158S    22S     1S     0S
USW00023041           0S -7777S     2S    22S   114S   247S   339S   319S   141S    24S     1S     0S
USW00023042           0S     0S -7777S     7S    63S   181S   258S   222S    75S     5S -7777S     0S
USW00023044           0C     0C -7777C    13C   112C   295S   335S   282S   132S    10S -7777S     0S
USW00023047           0S     0S -7777S     2S    25S   116S   202S   166S    55S     2S -7777S     0S
USW00023048           0R     0R     0R     1R    23R   138R   227R   176R    50R     2R -7777R     0R
USW00023049           0R     0R     0R     0R     1R    22R    60R    30R     1R     0R     0R     0R
USW00023050           0S     0S     0S -7777S    15S   119S   197S   138S    32S -7777S     0S     0S
USW00023051           0R     0R     0R -7777R     6R    52R   109R    81R    17R -7777R     0R     0R
USW00023052           0R     0R     0R     0R -7777R     5R     9R     5R -7777R     0R     0R     0R
USW00023054           0C     0C     0S     0C -7777C     5C     5C     2C -7777C     0S     0S     0C
USW00023055           0R     0R -7777R     3R    60R   162R   147R   116R    41R     4R -7777R     0R
USW00023058           0S     0S -7777S     7S    87S   280S   326S   254S   124S     9S -7777S     0S
USW00023061           0S     0S     0S     0S     0S -7777S -7777S     0S     0S     0S     0S     0S
USW00023062           0C     0C     0S -7777S     1S    26S    91S    53S     6C -7777C     0C     0C
USW00023063           0R     0R     0R     0R     0R     1R     6R     3R -7777R     0R     0R     0R
USW00023064           0S     0S     0S     1S    16S    99S   204S   171S    53S     3S -7777S     0S
USW00023065           0C     0C     0C -7777C     5C    56C   143C   104C    22C -7777C     0C     0C
USW00023066           0S     0S     0S -7777S     5S    81S   200S   128S    18S -7777S     0S     0S
USW00023067           0S     0S     0S     1S    10S    93S   207S   150S    37S     1S     0S     0S
USW00023070           0S     0S     0S -7777S     2S    32S    83S    45S     9S -7777S     0S     0S
USW00023072           0S     0S -7777S     5S    42S   161S   280S   248S    87S     6S -7777S     0S
USW00023078           0R     0R     0R     1R    30R   172R   267R   189R    72R     2R     0R     0R
USW00023081           0S     0S     0S     0S -7777S     6S    27S    11S -7777S     0S     0S     0S
USW00023090           0R     0R     0R     0R     2R    41R   149R    74R     6R -7777R     0R     0R
USW00023091       -7777R     1R     5R    42R   158R   278R   318R   284R   149R    31R     1R     0R
USW00023110           0S     0S -7777S     3S    40S   108S   212S   169S    84S    13S     0S     0S
USW00023129       -7777R -7777R     1R     4R     5R    15R    64R    91R    67R    17R     2R     0R
USW00023130       -7777R -7777R -7777R     6R    21R    51R   149R   183R   121R    30R     3R     0R
USW00023136       -7777R -7777R -7777R     1R -7777R     1R     2R     2R     5R     4R     2R -7777R
USW00023152           0S     0S     1S     5S    10S    32S    98S   119S    87S    19S     1S     0S
USW00023153           0C     0C     0S     0C     2C    33C   111C    66C     5C     0C     0C     0C
USW00023154           0C     0C     0C     0C -7777C     1C    10C     4C -7777C     0C     0C     0C
USW00023155           0S -7777S -7777S    10S    75S   191S   367S   324S   176S    31R -7777R     0R
USW00023156           0R     0R -7777R     2R    20S    77S   202S   216R   120R    18R     2R     0S
USW00023157           0S     0S     0S -7777S     8S    64S   173S   113S    18S -7777S     0S     0S
USW00023158       -7777S -7777S    10S    75S   270S   494S   690S   663C   444C   126S     4S     0S
USW00023159           0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R     0R
USW00023160       -7777S -7777S     2S    27S   160S   385S   466S   414S   291S    67S     2C     0C
USW00023161           0S     0C     1S    21C   135C   329C   519S   477S   259C    43S -7777C     0S
USW00023162           0R     0R     0S     0S     1S    22S   106R    70R     4R     0R     0R     0R
USW00023169           0S -7777S     3C    36C   206S   443S   637S   578S   325S    56S     1S     0S
USW00023170           0R     0R     0R     2S    19S   138S   297S   201S    33R -7777R     0R     0R
USW00023174       -7777C -7777C     1C     1C     1C     2C     8C    17C    18C    10C     2C -7777C
USW00023176           0R     0R     0R     0R     1R    19R   101R    69R     5R     0R     0R     0R
USW00023177           0R     0R     0R     0R     1R    17R    82R    44R     2R     0R     0R     0R
USW00023179           0S -7777C    13S    88S   312C   561S   761S   708S   465S   138S     6C     0S
USW00023182           0R     0R -7777R     2R    44R   133R   287R   290R   112R     8R -7777R     0R
USW00023183           0S     1S    16C    99S   322S   564S   707S   668S   491S   181S    12S     0S
USW00023184           0S     0S     0S -7777S     4S    48S   122S    76S    15S -7777S     0S     0S
USW00023185           0S     0S     0S -7777S     4S    32S   129S    86S    11S -7777S     0S     0S
USW00023187           0S     0S -7777S -7777C     6S    37S   112S   117S    64C     9S -7777S     0S
USW00023188           0S     0S -7777S     1S     1S     3S    21S    34S    30S     6S     1S     0S
USW00023190           0S     0S -7777R -7777S -7777S     1S     2S     2S     4S     1S     0S     0S
USW00023191       -7777R -7777R -7777R     1R     5R     7R    34R    65R    58R    36R     7R -7777R
USW00023194           0S     0S     0S -7777S     8S    81S   196S   134S    28S -7777S     0S     0S
USW00023195       -7777R     1R    24R    99R   299R   521R   705R   694R   512R   200R    14R -7777R
USW00023199           0Q -7777Q    15Q    60Q   226Q   437Q   621Q   625Q   444Q   136Q     7Q     0Q
USW00023213           0R     0R     0R -7777R     3R    10R    15R     9R    11R     1R -7777R     0R
USW00023225           0R     0R     0R -7777R     1R     7R    42R    36R    17R     2R     0R     0R
USW00023230           0R     0R     0R -7777R     1R     3R     1R     2R     6R     1R -7777R     0R
USW00023232           0R     0R -7777R     1R    19R    62S   124S   104S    53S     8S     0S     0S
USW00023233           0S     0S -7777S     1S     1S     1S     1S     1S     4S     2S -7777S     0S
USW00023234           0C     0C -7777S     1S     2S     3S     2S     3S     6S     2S -7777S     0S
USW00023237           0S     0S -7777S     1S    25S    79S   159S   131S    66S     8S     0S     0S
USW00023239           0R     0R -7777R     1R     1R     5R     4R     4R     8R     4R -7777R     0R
USW00023244           0R     0R -7777R     2R     5R    13S    13S    11S    14R     4R -7777S     0R
USW00023254           0R     0R     0R     1R    10R    34R    68R    59R    39R     4R -7777R     0R
USW00023257           0R     0R     0R     2R    27R    92R   186R   142R    65R     6R     0R     0R
USW00023258           0S     0S -7777S     6S    46S   123S   225S   190R   101S    15S -7777S     0R
USW00023259           0R     0R     0R     0R     0R     1R -7777R -7777R -7777R -7777R -7777R     0R
USW00023271           0S     0S -7777S     4S    36S    93S   172S   150S    86S    15S -7777S     0S
USW00023272           0R     0R -7777R     1S     1R     2R     1R     1S     5S     4S -7777S     0S
USW00023273           0S     0S -7777S     1S -7777S -7777S     1S     1S     4S     1S -7777S     0S
USW00023275           0R     0R     0R     1R     6R    20R    95R    63R    25R     2R     0R     0R
USW00023277           0R     0R     0R     1R     1R     2R     1R     2R     4R     1R -7777R     0R
USW00023285           0R     0R     0R     1R     8R    29R    78R    65R    42R     4R     0R     0R
USW00023293           0R     0R     0R     2R     9R    23R    37R    30R    29R     4R -7777R     0R
USW00023801           0Q     0Q -7777Q     3Q    42Q   148Q   240Q   223Q   115Q    17Q     1Q     0Q
USW00023802           0Q     0Q -7777Q     2Q    56Q   172Q   249Q   232Q   107Q    14Q     1Q     0Q
USW00023803           0Q     0Q -7777Q     3Q    20Q   106Q   202Q   196Q    41Q -7777Q     0Q     0Q
USW00023904           0Q     0Q -7777Q     1Q     7Q   103Q   203Q   195Q    39Q     3Q     0Q     0Q
USW00023906       -7777Q     1Q     8Q    34Q   135Q   261Q   324Q   310Q   235Q    96Q    13Q     2Q
USW00023907           0Q -7777Q -7777Q     6Q    99Q   234Q   328Q   345Q   178Q    36Q     1Q -7777Q
USW00023908           0Q     0Q     0Q -7777Q     6Q    77Q   192Q   180Q    37Q     3Q     0Q     0Q
USW00023909           0Q     0Q     0Q -7777Q     2Q    39Q   129Q   116Q    17Q     1Q     0Q     0Q
USW00024011           0C     0C     0C -7777C     2S    20S    63C    53C     8C -7777C     0C     0C
USW00024012           0S     0S     0S     0S     1S    12S    47S    44S     5S -7777S     0S     0S
USW00024013           0S     0S     0S -7777S     2S    17S    45S    44S     6S -7777S     0S     0S
USW00024015           0S     0S     0S -7777S     2S    34S   108C    71S    14S -7777S     0S     0S
USW00024017           0R     0R     0R -7777R     2R    28R   108R    84R    12R -7777R     0R     0R
USW00024018           0S     0S     0S     0S -7777S     5S    32S    15S     1S     0S     0S     0S
USW00024020           0C     0C     0S -7777S     2S    40C   118C    85C    15C -7777C     0C     0C
USW00024021           0S     0S     0S     0S -7777S    10S    56S    33S     1S     0S     0S     0S
USW00024022           0S     0S     0S     0S     0S -7777S -7777S -7777S     0S     0S     0S     0S
USW00024023           0S     0S     0S -7777S     3S    38S   114S    79S    15S -7777S     0S     0S
USW00024024           0S     0S     0S -7777R     3S    36R   132R   116R    24R -7777S     0S     0S
USW00024025           0S     0S     0S -7777S     4S    40S   146S   119S    27S -7777S     0S     0S
USW00024027           0S     0S     0S     0S -7777S     3S    24S     9S -7777S     0S     0S     0S
USW00024028           0S     0R     0R -7777R     2R    32S   107S    67S     8R -7777R     0R     0R
USW00024029           0C     0C     0C     0C -7777C     8C    46C    36C     3C -7777C     0C     0C
USW00024030           0R     0R     0R -7777R     2R    36R   127R    91R    16R -7777R     0R     0R
USW00024032           0S     0S     0S     1S     4S    43S   130S    99S    22S -7777S     0S     0S
USW00024033           0C     0C     0C -7777C     1C    20C    94C    75C     9C -7777C     0C     0C
USW00024036           0S     0S     0S     0S -7777S     2S    14S    11S     1S     0S     0S     0S
USW00024037           0C     0C     0C -7777C     2C    31C   121C   104C    13C -7777C     0C     0S
USW00024044           0R     0R     0R     0R     1R    19R    71R    51R     4R -7777R     0R     0R
USW00024046           0R     0R     0R     0R     0R -7777R     4R     2R -7777R     0R     0R     0R
USW00024048           0R     0R     0R     0R     1R    23R    98R    69R     4R     0R     0R     0R
USW00024057           0C     0C     0S     0S -7777C     1C     9C     4C -7777C     0C     0C     0C
USW00024061           0R     0R     0R     0R -7777R     9R    60R    40R     2R     0R     0R     0R
USW00024062           0S     0S     0S     0S -7777S    15S    67S    41S     3S -7777S     0S     0S
USW00024088           0R     0R     0R     0R -7777R    15R    64R    35R     4S -7777R     0R     0R
USW00024089           0S     0S     0S     0S -7777S     8S    46S    31S     2S -7777S     0S     0S
USW00024090           0S     0S     0S -7777S     1S    21S    94S    75S    13S -7777S     0S     0S
USW00024091           0R     0R     0R -7777R     7R    60R   157R   106R    21R     1R     0R     0R
