USC00031838          32S    37S    29S    27S    22S    19S    18S    29S    24S    22S    29S    41S
USC00031900          39C    41S    34C    35C    23C    21C    19C    30C    24C    25C    37C    48C
USC00031948          32S    34S    30S    27S    21S    19S    19C    27C    24S    23S    30S    40S
USC00031962          37S    36S    27S    30S    21S    17S    16S    24S    22S    24S    29S    44S
USC00031968          39S    40S    31S    31S    25R    22S    20S    27S    20S    23S    32S    44S
USC00032148          39S    37S    29S    32S    22S    17S    16S    25S    22S    24S    29S    43S
USC00032355          36S    36S    27S    31S    22S    17S    15S    24S    20S    23S    30S    42S
USC00032356          45S    43S    37C    34S    25S    24C    20S    32C    30S    21R    40C    50S
USC00032366          39S    37S    31S    30R    26S    22S    17S    30S    26R    21R    34R    45R
USC00032444          40R    41R    30R    31R    25S    24R    19R    31R    29R    21R    36R    47R
USC00032540          33S    43S    29S    32S    30S    26S    19S    28S    24S    23S    31S    42S
USC00032794          39S    38S    29S    29S    27S    22S    17S    29S    24S    23S    34S    45S
USC00032930          42S    42S    33C    31C    26C    24C    19C    30C    29C    23C    36C    48C
USC00032962          33R    38R    30R    27R    24R    19R    19R    31R    23R    22R    31R    45R
USC00032978          38S    39S    29S    31S    25S    19S    19S    31S    23S    24S    33S    45S
USC00033242          38R    36S    27S    30S    23S    18S    17S    25S    21S    24S    30S    43S
USC00033428          34S    37S    27S    28S    22S    18S    18S    28S    23S    21S    29S    41S
USC00033466          32S    37S    28S    30S    25S    20S    24S    33S    26S    24S    30S    42S
USC00033544          42S    43S    32S    31S    24S    23S    22S    32S    27S    24S    36S    49S
USC00033734          42S    42S    31S    32S    28S    18S    20S    27S    25S    24S    35S    46S
USC00033821          41S    41S    31S    33S    27S    22S    17S    29S    27S    25S    33S    47S
USC00033862          38C    38C    28C    30C    21C    18C    18C    25C    21S    21S    28S    44S
USC00034106          37S    39S    32S    31S    27S    24S    20S    30S    28S    25S    31S    44S
USC00034134          34S    35S    32S    28S    24S    20S    17S    28R    23R    25R    32C    45S
USC00034185          36R    39R    29R    31R    26R    19R    19R    24R    23R    20R    30R    41R
USC00034548          34S    35S    29S    28S    22S    19S    17S    28S    24S    23S    28S    40S
USC00034562          33S    37S    28R    28S    21R    21R    16S    27S    24S    22S    30S    41S
USC00034572          40S    38S    32S    32S    26S    23S    18S    28S    25S    23S    35S    44C
USC00034638          39C    40C    29C    31C    23C    19C    18C    27S    24C    23C    31C    45C
USC00034666          43R    49S    34S    30S    34S    23S    21S    32S    28S    22S    40R    47R
USC00034756          32R    35R    29R    29S    23S    21S    20C    28C    24S    23S    31R    43R
USC00034938          37S    37S    29S    32S    23S    23R    20S    30S    25R    22R    32R    45S
USC00034988          34C    36S    28S    30S    24S    21S    20S    28S    24S    23S    32S    41S
USC00035018          35R    37R    28R    26R    23R    21R    16R    30R    25R    23R    33R    43R
USC00035036          43R    40R    33R    32R    27S    23S    18S    31S    24S    23R    37R    49R
